,left,right,forward
[300305325],0.6086482475414955,0.03,0.0
[345270250],0.0,0.0,0.5548568127888276
[345245240],0.8347405170597588,0.0,0.0
[395400360],7.056245187591268,0.9301545150012324,1.5750302262649198
[395390395],4.249816908664344,2.7319840181972506,10.255792833164136
[400395405],0.33944095592705736,0.4676472776117269,9.53558590852576
[400400405],0.8652345941599517,0.3796821797574281,10.943131844529884
[365265235],0.0,0.13630575259996802,0.0
[285310340],0.29103071991484875,0.0,0.0
[360265235],0.064317,0.0,0.4317075440128253
[400400400],2.675963759531763,1.0333010812338341,11.22144332306148
[390385395],3.1854968711468445,3.487349384681078,8.447265135844397
[385370380],0.6561610777946141,0.14084557740279147,3.5874252708047902
[375345365],0.0,0.04747824698833042,-0.4268086173232151
[355340335],0.0,0.0,2.1669045475349358
[310375325],0.0,0.03,0.0
[295330400],0.03,0.0,0.2
[310380330],0.03,0.0,0.0
[375395345],2.6745356008065446,-1.0,0.0
[320365325],0.0,0.0,0.0
[320365320],0.0,0.03,0.0
[305355405],0.0,0.2691557361996668,0.0
[390385335],0.0,0.0,3.02572522314597
[390380325],2.3347568854011675,0.0,0.0
[390395400],4.533404659364554,4.112256493308288,11.219640417747273
[390390395],3.7459019551787938,4.9652120020008645,9.397212789476725
[305390380],0.0,0.0,0.5453164301006954
[380400390],1.3297131987888124,1.925013270640909,7.788464491401237
[390400385],2.291454270857558,4.485688153912951,2.0562006567328037
[380385390],4.400791820100698,4.1259726262773215,8.633322196563295
[390395385],5.675823404352063,4.446124613352733,9.03780899757104
[390375390],0.933747823904143,1.423736754954242,6.0650076224838045
[395395385],4.579929666747912,3.5808396265725517,9.55531563595935
[390390385],3.7555993477816383,3.103249284301516,8.42708596904324
[390350395],0.2395835529272663,7.057689876972691,0.2365303717562745
[390345400],0.4908438097871499,0.0,0.2342
[370380390],2.847638009740988,4.136934834877134,8.09315478973644
[365375385],3.1337780398734782,5.929724855109543,7.251744608016622
[380385340],0.8949362918671462,0.03,4.445075056825574
[375390300],0.0,0.057,0.0
[345390395],0.5100087036030916,5.59646416520661,0.6176831485628784
[375390295],0.057,0.0,0.0
[365370385],3.3352534883376865,3.700042038830848,7.145347923751532
[370390310],0.0,0.057,0.0
[330395390],0.0,0.0,2.578872047050786
[375390385],1.109417125009105,6.199699454950566,2.2176127676541677
[385385395],3.9811806022338256,4.853018360424291,8.643845132823042
[390385375],5.109824127886457,2.3488130795138185,0.9900382002573238
[380390395],4.598537719527443,6.825210667890785,9.765868242065482
[390385385],2.988651686829685,2.0959178678786494,7.292897433445174
[385385380],4.876159360895961,1.1825970084447346,3.3801198284876848
[380370370],0.0,3.4313929434608066,0.5693858684916455
[370375390],4.161201628403787,3.3789998872734746,7.259950388162104
[370375385],2.8907802452642155,4.130126352992744,7.471800854416139
[355320305],0.22302546988330424,0.0,0.0
[335310330],0.1926314409159911,0.03,0.0
[355380395],0.0,3.0769089043311086,1.4807479277812845
[385375380],3.444275429555659,5.429964035786269,1.9892069935379897
[395395395],5.878176597421389,3.801925458446232,10.336678382148275
[385380385],5.799910582711451,3.36629677972772,3.007635395523668
[385390355],0.5250773105566007,0.5399288683973934,5.890563286333988
[385385355],0.0,0.5126697449373525,4.866645822111342
[345395405],2.0683561712785568,0.0,0.0
[385390385],4.772035027804238,5.119658886920703,8.178397000010321
[380385385],3.64097030321813,3.744888146687578,7.830127331890713
[375385380],2.957637866108576,5.516885653244205,2.1926063025702143
[355375355],0.0,0.0,-0.044824475674328124
[380365340],0.0,0.0,1.2628332749520048
[385370325],0.0,1.885035382942181,0.0
[360370385],3.433009240809115,4.313403148560058,6.698971007972896
[345355380],0.6280489998039811,5.334063721598435,1.2917054829403851
[355360375],2.6175837197309546,4.1180443342230975,6.036218954076817
[340360380],1.268053473297384,5.893436721091526,1.9596267306429067
[355365375],1.4662680021345036,3.4792727520490314,5.301581472394042
[335345370],0.6399627486635222,5.328366232341693,1.9500286607243429
[335390400],2.5818419373899717,1.491551470826601,0.0
[340345370],1.476964192630401,1.9908097030706629,4.636416088505752
[320340360],0.2816084360195219,0.17072425353346124,3.1029713984714493
[330340370],1.569312113250512,0.5833777079445578,0.9171915951857712
[320345365],0.4717431782376179,0.0,2.9228504034536646
[290310350],0.03,1.1708149155648624,0.0
[370280240],1.7013009350058297,0.1375887,0.0
[290305350],0.0,0.4906017495520868,0.0
[320320355],0.30948413486815674,3.966333575214552,0.9693028370372844
[320380400],1.3570292884751862,1.093834245111908,0.2172255300517398
[320375395],0.03,0.0,2.0059670248835952
[320370400],0.0798995530316921,0.03,2.86609521520322
[310365400],0.8930717253629941,0.0,0.0
[310315335],0.10450460488243107,2.872911893019076,0.4374786126422263
[275280345],0.0,0.16379950787758218,0.0
[310305340],0.8747127068380369,3.088520917163025,0.2569149673964201
[270280340],0.0,0.3284984310780392,0.0
[305295335],0.930602619739476,0.0,0.4497223007604299
[265275330],0.0,0.0,1.299825720031835
[235265305],0.3549310444455919,0.07004888179953739,0.0
[375250220],0.0,0.0,0.38
[370230235],0.0,0.2764461977260118,0.0
[235290320],0.4188644629930881,-0.9703,-0.9897600868287756
[290280310],0.6418831581030273,0.10240907998695314,0.2150001554548065
[240285315],0.31527478085526306,0.0,-1.7142279661908781
[370270220],0.0,0.0,0.4365759248422627
[365275215],0.0,0.0,0.38378700498875984
[360250225],0.0,0.0,0.9182714157330754
[345230245],0.0,0.13711001767962833,0.0
[250310325],0.2325235910892009,0.0,0.0
[350220245],0.0,0.1392419285665749,0.0
[255315330],0.4352029546135746,0.0,0.0
[350215245],1.8332272854478324,0.0,0.0
[360355365],3.679622571746121,0.7455834349147233,0.0
[390400380],5.163178325425527,0.047257668187752594,2.268856699963256
[395395400],5.828470773554175,3.952067770189247,11.179071246053308
[390385405],7.324670395311255,0.0,0.0
[405375400],0.03513,0.0,0.0
[400375400],0.037317,1.2520929418837747,0.7996236979662233
[400380395],0.04650247199094559,1.761916420991512,0.4478825941454809
[400365340],0.0,0.199427835125804,0.0
[365360375],3.428811185002845,0.7077728633343154,1.4192943882022473
[390360345],0.0,1.8286401849400256,0.0
[370365375],1.8572451506002616,4.8123963161340395,1.6637312214995292
[300210265],0.0,0.14078078592908608,0.0
[260310335],0.4506106259865754,0.03,-0.8200000000000001
[305325340],0.06293090424456299,2.119563711378485,0.0
[260240280],0.0,0.057,0.0
[295330340],0.0,0.5352121197680811,0.0
[315295295],0.0,0.31729995180111004,-1.0
[315315335],1.1517793869803623,0.06476096078868375,0.7082531023453384
[310315330],0.10505261380516433,2.113718946455972,-0.6164336836653477
[300275235],-0.99487,0.2518617502169714,-1.0
[305265240],0.06318665570736552,0.0,0.0
[300260235],-0.9091619502279318,0.10911911030770446,-1.9
